,ell,TT,TE,EE
0,2,1.3852433926983714e-09,6.268461709609762e-14,3.999645383089262e-12
1,3,6.451888832677358e-10,5.2255053084955104e-14,2.541653176509262e-12
2,4,3.6066740300272255e-10,3.5990399598790024e-14,1.5812295559974682e-12
3,5,2.267957624528519e-10,2.1776473077133245e-14,9.83094400297649e-13
4,6,1.5487602983247166e-10,1.1769273758318357e-14,6.164627584419114e-13
5,7,1.1244545505361267e-10,5.737064304248051e-15,3.8948904720518107e-13
6,8,8.551057410574759e-11,2.594554106137211e-15,2.4693616388916574e-13
7,9,6.741578581923376e-11,1.1883109118788432e-15,1.5830206128758647e-13
8,10,5.470912246627338e-11,6.480363086092168e-16,1.0434600079365996e-13
9,11,4.543509335298762e-11,4.473523218956746e-16,7.21847552006422e-14
10,12,3.850605810993228e-11,3.5852620622515667e-16,5.3651555462402e-14
11,13,3.314104065567685e-11,2.843224206689627e-16,4.338435885618925e-14
12,14,2.8902024094495385e-11,2.1969815665014174e-16,3.7479499556626575e-14
13,15,2.5469519961183168e-11,1.719597862832177e-16,3.377316822364147e-14
14,16,2.2690568739579962e-11,1.43903885490118e-16,3.12066410252985e-14
15,17,2.04093053408328e-11,1.3035946316286918e-16,2.9257056917607536e-14
16,18,1.849442734847507e-11,1.260186509977868e-16,2.7658140796919822e-14
17,19,1.688275357340978e-11,1.265765868299322e-16,2.6303397859634965e-14
18,20,1.548924857939905e-11,1.2871434220987758e-16,2.4994062353009885e-14
19,21,1.4283774598321593e-11,1.307030383594409e-16,2.3742416479902395e-14
20,22,1.3233803836218665e-11,1.3265840630867918e-16,2.2556511079152045e-14
21,23,1.2309238085212097e-11,1.3469237024803891e-16,2.1418832348235456e-14
22,24,1.1493726162668498e-11,1.3693259899201832e-16,2.0308511549865858e-14
23,25,1.0771989555018024e-11,1.3953697930184424e-16,1.9166905111745997e-14
24,26,1.0125594783493257e-11,1.426855890740677e-16,1.8054580823271395e-14
25,27,9.547532784826313e-12,1.4648797744738693e-16,1.6992608708333554e-14
26,28,9.027126614789134e-12,1.5088388578853066e-16,1.5952481316849058e-14
27,29,8.556253977963152e-12,1.5605265687410928e-16,1.4983085900958604e-14
28,30,8.129901298431701e-12,1.621338809894908e-16,1.4041432816634997e-14
29,31,7.738768790489002e-12,1.68996149652199e-16,1.3203176512326748e-14
30,32,7.383635233848965e-12,1.7654084717070463e-16,1.2424225446756405e-14
31,33,7.057327496898398e-12,1.8434092893072042e-16,1.1687900668604039e-14
32,34,6.756536200279292e-12,1.9240539007250228e-16,1.0994201490774474e-14
33,35,6.481354977106028e-12,2.0064903479527496e-16,1.0291608200409875e-14
34,36,6.224787533829073e-12,2.0910553912839737e-16,9.630962667809034e-15
35,37,5.9873929633088765e-12,2.1778655359370096e-16,8.980530840295181e-15
36,38,5.767811484007691e-12,2.2654147575355776e-16,8.348326712798465e-15
37,39,5.563720312678631e-12,2.3525454094947136e-16,7.732265057062326e-15
38,40,5.37319617659343e-12,2.4384467495581e-16,7.124787329391866e-15
39,41,5.194610682008879e-12,2.522651466797184e-16,6.5214866035860315e-15
40,42,5.027035314372133e-12,2.6055040467330365e-16,5.925433399573121e-15
41,43,4.869667868412186e-12,2.6874731108676616e-16,5.339379142115929e-15
42,44,4.721972424641095e-12,2.7688760051634475e-16,4.7604331347032236e-15
43,45,4.58344709060257e-12,2.8498980522203965e-16,4.185329899834611e-15
44,46,4.453302037676521e-12,2.930574112815367e-16,3.612599056334749e-15
45,47,4.330718894171972e-12,3.010776512686325e-16,3.0415240152533737e-15
46,48,4.2149434293430615e-12,3.0902212022900213e-16,2.4714236207365133e-15
47,49,4.1053050514395665e-12,3.168571881929192e-16,1.9019740483573223e-15
48,50,4.001378803035772e-12,3.245942809573736e-16,1.3332081463794124e-15
49,51,3.902872104156514e-12,3.3223408463065087e-16,7.659989472227928e-16
50,52,3.809260886195241e-12,3.3978216799591374e-16,2.0383738331050163e-16
51,53,3.720141858342077e-12,3.4723051045588817e-16,5.022245295638124e-27
52,54,3.6352352325720435e-12,3.54581090835168e-16,4.8396181939785556e-27
53,55,3.55430408849093e-12,3.618319138795896e-16,4.66677468705075e-27
54,56,3.4773651315655742e-12,3.6897375823148244e-16,4.503028206803355e-27
55,57,3.4043423113991023e-12,3.760028376202085e-16,4.347751372085998e-27
56,58,3.3348988339345817e-12,3.829254419003264e-16,4.200369969642405e-27
57,59,3.268640790394289e-12,3.8974385471102526e-16,4.0603576373209916e-27
58,60,3.205351534001993e-12,3.9645010899276444e-16,3.927231157408828e-27
59,61,3.1448322652632467e-12,4.030375962853393e-16,3.800546281363382e-27
60,62,3.086884222382118e-12,4.095057176663156e-16,3.679894018462957e-27
61,63,3.0313252447762937e-12,4.1585274422205603e-16,3.56489733038599e-27
62,64,2.9779730708189363e-12,4.220775041530391e-16,3.455208181758728e-27
63,65,2.9266754946211377e-12,4.281822356467521e-16,3.350504903523616e-27
64,66,2.8773777490511127e-12,4.3416213697887055e-16,3.250489831776642e-27
