,ell,TT,TE,EE,BB,KK
0,0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0
2,2,1.070115e-09,2.7603154e-12,3.2557108e-14,1.9123634e-18,7.0357764e-20
3,3,5.066706e-10,1.5479348e-12,2.0932157e-14,1.9126219999999998e-18,9.050104e-20
4,4,2.8775150000000003e-10,8.714332999999999e-13,1.0923864e-14,1.912966e-18,1.06774394e-19
5,5,1.836995e-10,4.949573e-13,4.879954700000001e-15,1.9133934e-18,1.205344e-19
6,6,1.2723584e-10,2.8509146e-13,1.9561737e-15,1.9139030999999996e-18,1.3228072999999998e-19
7,7,9.365327999999999e-11,1.6818163e-13,7.927936999999999e-16,1.9144933999999998e-18,1.4233893e-19
8,8,7.190089399999999e-11,1.031466e-13,3.9610727e-16,1.915162e-18,1.5108537e-19
9,9,5.719427e-11,6.773519e-14,2.5370298e-16,1.915907e-18,1.5887065e-19
10,10,4.676449e-11,4.8617225e-14,1.772323e-16,1.9167255e-18,1.6589572999999998e-19
11,11,3.9089730000000003e-11,3.8395819999999994e-14,1.2463187e-16,1.9176152e-18,1.7222095e-19
12,12,3.3219177e-11,3.279169e-14,9.232928e-17,1.918573e-18,1.7785282999999998e-19
13,13,2.8722035999999998e-11,2.9478319e-14,7.620492399999999e-17,1.9195954e-18,1.8282633e-19
14,14,2.5122638999999998e-11,2.7180366e-14,6.8828085e-17,1.9206796e-18,1.872298e-19
15,15,2.2187078e-11,2.5336098e-14,6.5050976e-17,1.9218214e-18,1.9116621e-19
16,16,1.9793323999999997e-11,2.37909e-14,6.340146e-17,1.9230179e-18,1.9471079999999998e-19
17,17,1.782136e-11,2.2447435000000003e-14,6.4036954e-17,1.924265e-18,1.9790372e-19
18,18,1.6162655e-11,2.121607e-14,6.699643999999999e-17,1.9255585e-18,2.0076725e-19
19,19,1.4764792e-11,2.0180596e-14,7.176701999999999e-17,1.9268948e-18,2.0332492e-19
20,20,1.3556555e-11,1.9322784999999997e-14,7.751044e-17,1.9282697e-18,2.0560803e-19
21,21,1.2507177e-11,1.8571764e-14,8.3711486e-17,1.9296791999999997e-18,2.0764591e-19
22,22,1.1591552999999999e-11,1.7896403000000002e-14,9.024055e-17,1.931119e-18,2.0945674e-19
23,23,1.0787228e-11,1.7276874e-14,9.704082999999999e-17,1.9325848e-18,2.1104854e-19
24,24,1.0075697e-11,1.6637476e-14,1.0389933e-16,1.9340727999999996e-18,2.1242693e-19
25,25,9.44524e-12,1.5989131999999998e-14,1.1067662e-16,1.9355787e-18,2.1360324e-19
26,26,8.881871e-12,1.5343809e-14,1.1749466e-16,1.9370984000000002e-18,2.1459668e-19
27,27,8.375497e-12,1.46800885e-14,1.2437762e-16,1.9386277e-18,2.1542978e-19
28,28,7.9199815e-12,1.4029566e-14,1.3129101999999997e-16,1.9401630000000002e-18,2.1612327999999999e-19
29,29,7.50728e-12,1.3366231e-14,1.3834184e-16,1.9417002e-18,2.1669285e-19
30,30,7.134113e-12,1.2679307000000001e-14,1.4556642e-16,1.943236e-18,2.171494e-19
31,31,6.792254e-12,1.2042035e-14,1.5293453e-16,1.9447662000000003e-18,2.1750105e-19
32,32,6.47961e-12,1.1426837e-14,1.6044006000000001e-16,1.9462874999999997e-18,2.1775433e-19
33,33,6.1946434999999995e-12,1.0816285e-14,1.6792390000000001e-16,1.9477968e-18,2.1791431999999997e-19
34,34,5.9302487e-12,1.02363e-14,1.7536555e-16,1.9492911e-18,2.1798422e-19
35,35,5.6871004e-12,9.64613e-15,1.8288682999999998e-16,1.950767e-18,2.179658e-19
36,36,5.4637736999999996e-12,9.050384e-15,1.9044832e-16,1.9522222e-18,2.1786119e-19
37,37,5.2541513e-12,8.476919499999998e-15,1.9803040999999999e-16,1.9536537e-18,2.1767349e-19
38,38,5.0599523e-12,7.903808999999999e-15,2.0556798e-16,1.9550596000000003e-18,2.1740807e-19
