L,TT,TE,EE,BB,PP
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,1.0647171662281168e-09,2.74107100618363e-12,3.2340287814339165e-14,1.9042973309244772e-18,5.250145866875167e-20
3,5.046062772110218e-10,1.538364618634338e-12,2.0781792483129162e-14,1.90455389432452e-18,3.1936540798475324e-20
4,2.867042588407273e-10,8.666585989752017e-13,1.083730084967642e-14,1.904888997540903e-18,2.20725786567096e-20
5,1.831500345955494e-10,4.925703121563437e-13,4.8368169934178686e-15,1.9053068293638305e-18,1.6397459079607828e-20
6,1.2693664956689627e-10,2.8364841670661555e-13,1.937494989293911e-15,1.9058097833877052e-18,1.276114935888174e-20
7,9.335938208515364e-11,1.6724829490073401e-13,7.854228473397264e-16,1.906385742040863e-18,1.0263291479960018e-20
8,7.175877586343385e-11,1.0292206599010561e-13,3.9281776408785976e-16,1.907042733837864e-18,8.459096012287178e-21
9,5.7093419930748746e-11,6.757831087917949e-14,2.5154872003633636e-16,1.907770536135946e-18,7.106561835100431e-21
10,4.6676869729174285e-11,4.8463579151070443e-14,1.7562017012364806e-16,1.9085746569222286e-18,6.0616744651682915e-21
11,3.898592723394337e-11,3.8242988171258075e-14,1.2356359905455565e-16,1.909450494874138e-18,5.2366065545359676e-21
12,3.3189355588849366e-11,3.2778652764635836e-14,9.655362806177092e-17,1.9103904095992857e-18,4.570936757315365e-21
13,2.8672522120401594e-11,2.9563491606158143e-14,7.579558337233986e-17,1.9113967549383202e-18,4.025174218160971e-21
14,2.5062638832648244e-11,2.7193057530802602e-14,6.729441063639508e-17,1.9124669678203125e-18,3.571990847131595e-21
15,2.2143123119745955e-11,2.529196761637779e-14,6.471523786762294e-17,1.913596445179103e-18,3.1910465579450517e-21
16,1.9762073087676682e-11,2.373242250327266e-14,6.259992961413379e-17,1.914779932411595e-18,2.867488694564083e-21
17,1.7796999182874274e-11,2.2400582284361104e-14,6.37293629730273e-17,1.916014239525248e-18,2.5902328762421255e-21
18,1.614187049188162e-11,2.1246352281698548e-14,6.707649381264607e-17,1.9172901130329286e-18,2.350811527341457e-21
19,1.4748620079731706e-11,2.024326563086025e-14,7.164881552758651e-17,1.918620237641817e-18,2.1424008427664707e-21
20,1.3541117054977984e-11,1.9335754784594323e-14,7.744983328859935e-17,1.919991830223911e-18,1.95974045727433e-21
